source_index,tweet_id,topic,original_text,cleaned_text
0,2080061556470006042,-1,"Such uncouth language for a PM, their grandfather's age. CJP protest has unleashed wasted sperms who need well-σiled lathis. https://t.co/XygU27CTC1","Such uncouth language for a PM, their grandfather's age. CJP protest has unleashed wasted sperms who need well-σiled lathis."
1,2080034061612150883,-1,"Midnight visuals from Allahabad 

If Delhi, Patna &amp; Mumbai was not enough, Allahabad has also joined the students protest in wild style 😭🔥 https://t.co/GPpVttEgqI","Midnight visuals from Allahabad If Delhi, Patna & Mumbai was not enough, Allahabad has also joined the students protest in wild style 😭🔥"
2,2080029445231177783,6,CJP terrorists and Umar Khalid’s illegal sons attacked a Delhi Police officer. He is now in the ICU. https://t.co/H85icK6hPe,CJP terrorists and Umar Khalid’s illegal sons attacked a Delhi Police officer. He is now in the ICU.
3,2080027408116441090,0,"“Govt must simply remove Dharmendra Pradhan from his post so that CJP ends its protest.”

- AAP's Saurabh Bharadwaj

BJP supporters question - 

“If tomorrow BJP holds protest and demands Bhagwant Mann’s resignation case will you oblige?” https://t.co/Uc4H3bLolg",“Govt must simply remove Dharmendra Pradhan from his post so that CJP ends its protest.” - AAP's Saurabh Bharadwaj BJP supporters question - “If tomorrow BJP holds protest and demands Bhagwant Mann’s resignation case will you oblige?”
4,2080019140706971950,12,"You think Modi Govt is a Joke 💀💀

Delhi Police’s newest crowd control tool includes a pair of Meta Ray-Bans AI glasses.

Meta AI smart glasses debuted for VIP security back on Republic Day? Fast forward to today, and they are being worn by officers right on the frontlines to https://t.co/KFGkLZCbT4","You think Modi Govt is a Joke 💀💀 Delhi Police’s newest crowd control tool includes a pair of Meta Ray-Bans AI glasses. Meta AI smart glasses debuted for VIP security back on Republic Day? Fast forward to today, and they are being worn by officers right on the frontlines to"
5,2080017463853318413,3,ADCP removed from Jantar Mantar after video of him slapping female protester goes viral https://t.co/UZgR3tU1xM,ADCP removed from Jantar Mantar after video of him slapping female protester goes viral
6,2080008850628035056,-1,"At the CJP protest, a truck suddenly arrived at night loaded with blankets, bedsheets, mats, and mattresses, which are being distributed to the protesters. Every possible facility is being provided so that the protesters stay in Delhi and do not leave.

Preparations are being https://t.co/lo1oYHYXNh","At the CJP protest, a truck suddenly arrived at night loaded with blankets, bedsheets, mats, and mattresses, which are being distributed to the protesters. Every possible facility is being provided so that the protesters stay in Delhi and do not leave. Preparations are being"
7,2079997621330944374,28,"Standing in solidarity with the students staging protest against their government in Delhi, India. The news channels are Modi’s b!tch, the police who is killing you all in the name of law &amp; order is only doing their “job” &amp; the most consequential figures in politics, bollywood &amp;","Standing in solidarity with the students staging protest against their government in Delhi, India. The news channels are Modi’s b!tch, the police who is killing you all in the name of law & order is only doing their “job” & the most consequential figures in politics, bollywood &"
8,2079991580807860473,-1,CJP protest has been hijacked ....total lawlessness! https://t.co/iZmS2u7qD7,CJP protest has been hijacked ....total lawlessness!
9,2079989656238866572,-1,"If you are outside Delhi and worrying about the scale of protest, let me tell you as a Delhi resident who has to travel extensively daily, that the anarchy is limited to only couple of areas, not even 2-3 KM stretch 

For rest of Delhi, you won't even know something is happening","If you are outside Delhi and worrying about the scale of protest, let me tell you as a Delhi resident who has to travel extensively daily, that the anarchy is limited to only couple of areas, not even 2-3 KM stretch For rest of Delhi, you won't even know something is happening"
10,2079988283770282009,27,"A delivery boy shares shocking details of the crowd present at the CJP protest, at Jantar Mantar.

He states that he delivered at least 10 food orders in a single day, to cockroaches supporting the CJP. Each and everyone was ordered and funded from a foreign country like Germany, https://t.co/hwS5eNn7At","A delivery boy shares shocking details of the crowd present at the CJP protest, at Jantar Mantar. He states that he delivered at least 10 food orders in a single day, to cockroaches supporting the CJP. Each and everyone was ordered and funded from a foreign country like Germany,"
11,2079983438531269101,-1,"Video shows Abhijeet Dipke standing on top of a police vehicle at the CJP protest.

The policeman requests him to get down. He refuses and asks the policeman to show registry.

The crowd moves forward to lynch the police....

This is how at every step, he provoked the crowd to https://t.co/RmIvsvkRkd","Video shows Abhijeet Dipke standing on top of a police vehicle at the CJP protest. The policeman requests him to get down. He refuses and asks the policeman to show registry. The crowd moves forward to lynch the police.... This is how at every step, he provoked the crowd to"
12,2079975604846485588,3,"🚨 Another failed Muslim actor Imran Khan joined the CJP protest in Mumbai.

After Ayesha Khan, Sonakshi Sinha, and Urfi Javed, Imran Khan also joined the protest.

Just listen to the background chants: ""Jab Jab Modi darta hai, police ko aage karta hai.""

Why have Muslim actors https://t.co/G0EA1ZlcZj","🚨 Another failed Muslim actor Imran Khan joined the CJP protest in Mumbai. After Ayesha Khan, Sonakshi Sinha, and Urfi Javed, Imran Khan also joined the protest. Just listen to the background chants: ""Jab Jab Modi darta hai, police ko aage karta hai."" Why have Muslim actors"
13,2079974024126636200,6,"Shameful!

CJP Goons attacked Delhi Police https://t.co/gFvoqJuq9w",Shameful! CJP Goons attacked Delhi Police
14,2079970846127599696,6,"A Delhi Police officer was attacked by a crowd of 200–300 people at Jantar Mantar.

For the last two days, attacks like this have continued. These CJP protesters are the ones creating chaos and disturbing the law and order situation.

Shame on Abhijeet Dipke 🤬 https://t.co/u71Z9pz8NW","A Delhi Police officer was attacked by a crowd of 200–300 people at Jantar Mantar. For the last two days, attacks like this have continued. These CJP protesters are the ones creating chaos and disturbing the law and order situation. Shame on Abhijeet Dipke 🤬"
15,2079970714074132847,6,Reports of fresh mob violence by the CJP mob near Jantar Mantar. They are trying to lynch security personnel including RAF and Delhi Police officials https://t.co/tkdPS17m9C,Reports of fresh mob violence by the CJP mob near Jantar Mantar. They are trying to lynch security personnel including RAF and Delhi Police officials
16,2079964696439042207,26,"If you still think these are students, then you're the biggest fool in the world.

The CJP protest has been completely hijacked now. https://t.co/dwG4VLe5QJ","If you still think these are students, then you're the biggest fool in the world. The CJP protest has been completely hijacked now."
